Follow_ID,Dolphin_ID,Demo,Demo_Confidence,Degree,AM_deg,AF_deg,JX_deg,low_AM_deg,low_AF_deg,low_JX_deg,Follow_length,Date,Number_Syncs,Group_Size,Year
F000001,T00001,AFNNN,High,2,0,1,1,0,1,1,31,9/13/21,19,11,2021
F000002,PC01466,AFNNN,High,2,2,0,0,0,0,0,11,7/20/21,4,18,2021
F000003,T00007,AFNNN,High,1,0,0,1,0,0,0,36,6/23/21,1,3,2021
F000004,T00010,AFNNN,High,1,0,0,1,0,0,0,31,7/27/21,11,3,2021
F000005,T00013,AFNNN,High,0,0,0,0,0,0,0,31,7/5/21,0,4,2021
F000006,T00015,AFNNN,High,2,0,0,2,0,0,2,30,7/14/21,7,4,2021
F000007,PC00430,AFNN,High,0,0,0,0,0,0,0,16,8/22/21,0,13,2021
F000008,PC00544,AFNN,High,4,2,2,0,2,1,0,22,8/23/21,2,90,2021
F000009,PC00185,AM,High,1,1,0,0,0,0,0,30,8/11/21,5,2,2021
F000010,T00023,JX,Low,4,0,0,4,0,0,4,30,7/1/21,16,5,2021
F000011,T00028,JX,High,1,1,0,0,1,0,0,11,9/13/21,2,11,2021
F000012,PC00132,AFNNN,High,1,1,0,0,0,0,0,16,8/22/21,2,13,2021
F000013,T00031,JX,Low,3,2,1,0,1,1,0,16,8/27/21,8,14,2021
F000014,T00034,AFNNN,High,0,0,0,0,0,0,0,31,7/6/21,0,9,2021
F000015,T00036,AM,High,1,0,0,1,0,0,1,16,7/6/21,4,8,2021
F000016,T00036,AM,High,3,2,0,1,1,0,1,26,7/21/21,9,5,2021
F000017,PC00387,AM,High,1,1,0,0,0,0,0,30,9/11/21,11,3,2021
F000018,PC00399,AM,High,2,1,0,1,0,0,1,15,7/20/21,2,9,2021
F000019,PC00270,AM,High,2,2,0,0,1,0,0,31,8/30/21,7,3,2021
F000020,T00043,AM,Low,2,2,0,0,1,0,0,32,8/27/21,9,4,2021
F000021,PC00400,AM,High,1,1,0,0,0,0,0,16,8/27/21,1,14,2021
F000022,PC00243,AFNN,High,1,0,1,0,0,0,0,11,8/23/21,4,90,2021
F000024,T00046,JX,Low,2,0,0,2,0,0,2,31,7/15/21,8,5,2021
F000025,T00049,AM,High,2,2,0,0,2,0,0,39,7/24/21,10,40,2021
F000026,T00052,JX,Low,0,0,0,0,0,0,0,11,7/16/21,0,15,2021
F000027,PC00295,AFNNN,High,2,0,2,0,0,0,0,31,9/14/21,8,7,2021
F000028,T00054,JX,Low,1,0,0,1,0,0,0,11,6/21/21,1,20,2021
F000029,T00055,AM,High,2,0,2,0,0,0,0,16,7/15/21,9,13,2021
F000030,PC00473,AM,High,2,2,0,0,0,0,0,31,8/30/21,7,2,2021
F000031,T00059,AFNN,High,2,0,2,0,0,1,0,12,8/31/21,3,35,2021
F000032,PC00592,AM,High,1,1,0,0,0,0,0,31,8/25/21,10,3,2021
F000033,PC00160,AM,High,1,1,0,0,0,0,0,31,9/11/21,6,5,2021
F000034,PC00709,AFNN,High,3,0,1,2,0,1,2,11,7/16/21,7,15,2021
F000035,T00066,AM,Low,1,1,0,0,1,0,0,30,7/20/21,20,2,2021
F000036,PC00381,AFNNN,High,2,0,2,0,0,1,0,11,9/13/21,8,4,2021
F000039,T00074,AFNNN,High,2,2,0,0,0,0,0,32,6/25/21,2,5,2021
F000040,PC00750,AM,High,4,3,1,0,1,0,0,16,7/19/21,6,12,2021
F000041,T00078,AFNN,High,0,0,0,0,0,0,0,11,8/31/21,0,35,2021
F000042,T00080,JX,Low,6,0,0,6,0,0,6,30,7/5/21,12,14,2021
F000043,PC01422,AFNN,High,2,0,1,1,0,1,0,11,6/21/21,2,20,2021
F000044,PC00301,AFNN,High,3,1,2,0,1,2,0,11,8/25/21,4,75,2021
F000045,PC00254,AM,High,2,2,0,0,0,0,0,21,8/10/21,11,3,2021
