Follow_ID,Dolphin_ID,Demo,Degree,AM_deg,AF_deg,JX_deg,Follow_length,Date,Number_Syncs,Group_Size,Year
24030,1,AF,0,0,0,0,354,4/11/10,0,16,2010
24031,2,AF,1,0,1,0,61,4/13/10,6,4,2010
24033,3,AF,0,0,0,0,50,4/13/10,0,2,2010
24050,4,AF,0,0,0,0,91,9/15/10,0,6,2010
24058,5,AF,0,0,0,0,151,9/22/10,0,9,2010
24060,6,AF,3,0,1,2,145,9/24/10,16,7,2010
24062,2,AF,3,0,2,1,181,10/8/10,4,6,2010
24071,6,AF,0,0,0,0,121,10/18/10,0,2,2010
24078,6,AF,0,0,0,0,159,10/26/10,0,3,2010
24084,7,AF,0,0,0,0,62,11/2/10,0,9,2010
24085,8,AF,0,0,0,0,61,11/2/10,0,4,2010
24086,9,AF,0,0,0,0,96,11/2/10,0,3,2010
24087,6,AF,3,0,2,1,127,11/3/10,5,3,2010
24091,2,AF,4,1,1,2,181,11/8/10,16,7,2010
24093,4,AF,0,0,0,0,121,11/15/10,0,4,2010
24095,6,AF,0,0,0,0,111,11/17/10,0,6,2010
24097,2,AF,1,0,0,1,61,11/17/10,17,10,2010
24106,10,AF,0,0,0,0,51,11/27/10,0,5,2010
24109,2,AF,1,0,1,0,61,11/29/10,1,6,2010
24115,11,AF,0,0,0,0,115,12/6/10,0,8,2010
24116,2,AF,0,0,0,0,121,12/6/10,0,7,2010
24048,12,AM,0,0,0,0,179,2010-07-28 00:07:1280289600,0,3,2010
24056,13,AM,1,0,0,1,121,2010-09-21 00:09:1285041600,4,2,2010
24074,13,AM,0,0,0,0,153,2010-10-19 00:10:1287460800,0,1,2010
24101,13,AM,0,0,0,0,31,2010-11-20 00:11:1290229200,0,9,2010
24112,13,AM,1,1,0,0,120,2010-11-30 00:11:1291093200,2,7,2010
24121,13,AM,2,0,0,2,61,2010-12-11 00:12:1292043600,3,7,2010
24061,14,AFNN,3,0,3,0,181,10/7/10,4,10,2010
24066,15,AFNN,0,0,0,0,25,10/9/10,0,8,2010
24120,16,AFNN,0,0,0,0,121,12/11/10,0,13,2010
24028,17,AFNNN,0,0,0,0,37,4/7/10,0,2,2010
24034,18,AFNNN,0,0,0,0,121,4/17/10,0,6,2010
24038,19,AFNNN,0,0,0,0,149,5/21/10,0,3,2010
24039,20,AFNNN,0,0,0,0,243,5/25/10,0,5,2010
24041,16,AFNNN,0,0,0,0,185,5/30/10,0,5,2010
24043,21,AFNNN,2,0,2,0,61,6/2/10,5,10,2010
24054,20,AFNNN,0,0,0,0,82,9/20/10,0,3,2010
24064,20,AFNNN,2,0,1,1,183,10/9/10,5,11,2010
24065,19,AFNNN,0,0,0,0,211,10/9/10,0,5,2010
24070,22,AFNNN,0,0,0,0,61,10/18/10,0,3,2010
24072,23,AFNNN,0,0,0,0,61,10/18/10,0,10,2010
24079,24,AFNNN,0,0,0,0,270,10/31/10,0,9,2010
24082,25,AFNNN,0,0,0,0,96,11/1/10,0,11,2010
24083,20,AFNNN,0,0,0,0,105,11/1/10,0,3,2010
24092,23,AFNNN,0,0,0,0,180,11/14/10,0,7,2010
24094,18,AFNNN,1,0,1,0,63,11/16/10,1,7,2010
24108,24,AFNNN,0,0,0,0,48,11/29/10,0,6,2010
24114,24,AFNNN,1,0,1,0,98,12/5/10,1,6,2010
24117,26,AFNNN,2,0,2,0,89,12/6/10,2,10,2010
24118,24,AFNNN,0,0,0,0,72,12/6/10,0,7,2010
24119,24,AFNNN,0,0,0,0,170,12/11/10,0,13,2010
24122,18,AFNNN,1,0,1,0,121,12/12/10,1,12,2010
24123,24,AFNNN,0,0,0,0,83,12/15/10,0,9,2010
24124,23,AFNNN,2,0,0,2,202,12/15/10,3,14,2010
24025,27,JX,0,0,0,0,124,4/5/10,0,10,2010
24029,11,JX,0,0,0,0,87,4/7/10,0,15,2010
24035,28,JX,0,0,0,0,58,5/11/10,0,3,2010
24036,29,JX,0,0,0,0,63,5/12/10,0,4,2010
24049,30,JX,2,0,1,1,183,9/15/10,4,10,2010
24051,28,JX,5,0,2,3,177,9/16/10,28,8,2010
24055,31,JX,1,0,1,0,166,9/20/10,1,3,2010
24057,11,JX,0,0,0,0,86,9/22/10,0,3,2010
24063,11,JX,0,0,0,0,163,10/8/10,0,10,2010
24067,30,JX,2,0,0,2,180,10/16/10,2,6,2010
24068,32,JX,0,0,0,0,121,10/16/10,0,10,2010
24073,28,JX,4,0,1,3,173,10/19/10,26,7,2010
24076,8,JX,0,0,0,0,23,10/20/10,0,3,2010
24077,27,JX,3,0,1,2,183,10/26/10,4,12,2010
24080,32,JX,0,0,0,0,21,10/31/10,0,5,2010
24096,31,JX,0,0,0,0,181,11/17/10,0,2,2010
24098,28,JX,1,0,1,0,61,11/17/10,15,10,2010
24102,30,JX,1,0,0,1,189,11/22/10,1,3,2010
24104,33,JX,0,0,0,0,30,11/22/10,0,3,2010
24107,30,JX,0,0,0,0,61,11/29/10,0,9,2010
24110,31,JX,2,0,2,0,76,11/30/10,7,10,2010
24111,34,JX,1,0,0,1,57,11/30/10,2,14,2010
24145,6,AF,0,0,0,0,174,9/12/11,0,8,2011
24150,11,AF,0,0,0,0,121,9/15/11,0,6,2011
24152,35,AF,0,0,0,0,38,9/16/11,0,3,2011
24158,11,AF,0,0,0,0,151,9/26/11,0,11,2011
24161,6,AF,3,0,2,1,188,9/30/11,4,8,2011
24164,6,AF,7,1,2,4,152,10/5/11,21,8,2011
24165,11,AF,0,0,0,0,181,10/10/11,0,6,2011
24179,36,AF,0,0,0,0,61,10/25/11,0,5,2011
24191,11,AF,0,0,0,0,121,11/5/11,0,9,2011
24203,28,AF,1,0,0,1,131,11/22/11,29,3,2011
24213,32,AF,0,0,0,0,61,12/1/11,0,16,2011
24129,37,AM,1,1,0,0,37,2011-06-22 00:06:1308715200,1,4,2011
24131,38,AM,0,0,0,0,151,2011-07-03 00:07:1309665600,0,7,2011
24132,39,AM,0,0,0,0,151,2011-07-03 00:07:1309665600,0,7,2011
24138,37,AM,0,0,0,0,58,2011-07-16 00:07:1310788800,0,5,2011
24177,40,AFNN,0,0,0,0,61,10/23/11,0,8,2011
24184,24,AFNN,0,0,0,0,121,10/27/11,0,10,2011
24187,24,AFNN,0,0,0,0,61,11/2/11,0,12,2011
24190,41,AFNN,0,0,0,0,32,11/4/11,0,14,2011
24192,41,AFNN,0,0,0,0,63,11/5/11,0,12,2011
24197,24,AFNN,0,0,0,0,71,11/17/11,0,6,2011
24199,24,AFNN,0,0,0,0,91,11/18/11,0,11,2011
24205,20,AFNN,0,0,0,0,63,11/24/11,0,8,2011
24211,2,AFNN,0,0,0,0,121,11/30/11,0,8,2011
24212,23,AFNN,0,0,0,0,59,11/30/11,0,10,2011
25080,23,AFNN,3,0,3,0,61,11/28/11,3,13,2011
24125,16,AFNNN,0,0,0,0,61,5/28/11,0,3,2011
24126,16,AFNNN,0,0,0,0,61,5/31/11,0,14,2011
24127,20,AFNNN,0,0,0,0,140,5/31/11,0,3,2011
24128,16,AFNNN,0,0,0,0,180,6/15/11,0,7,2011
24130,25,AFNNN,1,0,1,0,151,6/29/11,3,5,2011
24133,17,AFNNN,0,0,0,0,206,7/11/11,0,19,2011
24136,18,AFNNN,2,0,1,1,255,7/13/11,3,8,2011
24141,42,AFNNN,2,0,1,1,303,7/24/11,8,9,2011
24142,22,AFNNN,2,1,1,0,121,7/24/11,2,5,2011
24143,16,AFNNN,0,0,0,0,41,9/11/11,0,6,2011
24149,43,AFNNN,0,0,0,0,61,9/15/11,0,6,2011
24172,44,AFNNN,0,0,0,0,48,10/18/11,0,9,2011
24188,18,AFNNN,0,0,0,0,61,11/2/11,0,12,2011
24195,45,AFNNN,2,0,2,0,275,11/7/11,3,10,2011
24196,44,AFNNN,0,0,0,0,223,11/7/11,0,8,2011
24200,45,AFNNN,0,0,0,0,261,11/18/11,0,3,2011
24206,22,AFNNN,1,0,0,1,91,11/24/11,1,3,2011
24217,45,AFNNN,1,0,0,1,260,12/6/11,2,12,2011
26520,42,AFNNN,0,0,0,0,34,12/9/11,0,17,2011
24134,46,JX,0,0,0,0,27,7/13/11,0,2,2011
24139,47,JX,2,0,1,1,121,7/16/11,5,5,2011
24140,46,JX,2,1,1,0,118,7/19/11,12,4,2011
24144,30,JX,1,0,0,1,181,9/12/11,4,10,2011
24146,34,JX,2,0,1,1,124,9/13/11,3,6,2011
24148,48,JX,1,0,0,1,61,9/14/11,3,9,2011
24151,49,JX,1,0,0,1,40,9/15/11,9,8,2011
24154,27,JX,2,0,0,2,121,9/20/11,24,5,2011
24155,50,JX,1,0,1,0,180,9/21/11,1,8,2011
24156,30,JX,2,0,1,1,184,9/25/11,9,7,2011
24157,31,JX,0,0,0,0,45,9/25/11,0,6,2011
24159,27,JX,5,0,1,4,181,9/28/11,9,14,2011
