Stranding_ID,State,Year,Month,Day,Age_Class_Simple,Sex_simple,Time_period
1,NC,2013,JUL,18,ADULT,FEMALE,UME
2,MD,2013,SEP,3,ADULT,MALE,UME
3,SC,2014,JAN,22,ADULT,FEMALE,UME
4,NC,2014,MAR,10,ADULT,MALE,UME
5,NC,2014,MAR,7,ADULT,MALE,UME
6,GA,2013,NOV,15,ADULT,MALE,UME
7,NC,2013,NOV,17,ADULT,MALE,UME
8,NC,2013,SEP,15,ADULT,MALE,UME
9,VA,2013,JUL,25,ADULT,MALE,UME
10,NC,2014,MAR,14,ADULT,MALE,UME
11,MD,2013,NOV,16,ADULT,FEMALE,UME
12,FL,2013,NOV,23,ADULT,MALE,UME
13,FL,2013,NOV,25,ADULT,FEMALE,UME
14,FL,2013,NOV,27,ADULT,FEMALE,UME
15,FL,2013,DEC,3,ADULT,MALE,UME
16,FL,2013,DEC,4,ADULT,MALE,UME
17,SC,2013,DEC,20,ADULT,FEMALE,UME
18,SC,2013,DEC,26,ADULT,MALE,UME
19,SC,2013,DEC,28,ADULT,MALE,UME
20,SC,2013,DEC,29,ADULT,MALE,UME
21,MD,2013,SEP,20,ADULT,MALE,UME
22,FL,2014,JAN,15,ADULT,FEMALE,UME
23,FL,2014,JAN,19,ADULT,FEMALE,UME
24,SC,2014,APR,11,ADULT,MALE,UME
25,NC,2014,MAY,11,ADULT,MALE,UME
26,SC,2014,JUL,20,ADULT,FEMALE,UME
27,NC,2014,MAY,12,ADULT,FEMALE,UME
28,NC,2014,SEP,9,ADULT,MALE,UME
29,MD,2013,SEP,30,ADULT,MALE,UME
30,MD,2013,AUG,29,ADULT,FEMALE,UME
31,NC,2014,JUL,9,ADULT,MALE,UME
32,NJ,2014,AUG,3,ADULT,FEMALE,UME
33,NJ,2014,AUG,13,ADULT,MALE,UME
34,NC,2014,MAY,12,ADULT,MALE,UME
35,NC,2014,MAY,13,ADULT,MALE,UME
36,NC,2014,MAY,29,ADULT,MALE,UME
37,NC,2014,JAN,23,ADULT,MALE,UME
38,NC,2013,NOV,29,ADULT,MALE,UME
39,NC,2013,NOV,30,ADULT,MALE,UME
40,SC,2013,OCT,4,ADULT,MALE,UME
41,SC,2013,AUG,12,ADULT,FEMALE,UME
42,NC,2013,DEC,22,ADULT,FEMALE,UME
43,NC,2013,DEC,2,ADULT,FEMALE,UME
44,NC,2013,DEC,2,ADULT,FEMALE,UME
45,SC,2013,OCT,23,ADULT,FEMALE,UME
46,NC,2014,FEB,10,ADULT,FEMALE,UME
47,GA,2014,MAR,13,ADULT,FEMALE,UME
48,GA,2014,JUN,23,ADULT,MALE,UME
49,NC,2014,MAR,15,ADULT,MALE,UME
50,NC,2014,JUL,13,ADULT,MALE,UME
51,NC,2014,JUL,1,ADULT,MALE,UME
52,FL,2014,AUG,22,ADULT,MALE,UME
53,MD,2014,MAY,22,ADULT,MALE,UME
54,NJ,2014,AUG,7,ADULT,FEMALE,UME
55,FL,2014,AUG,8,ADULT,FEMALE,UME
56,NC,2014,SEP,11,ADULT,MALE,UME
57,SC,2014,AUG,10,ADULT,FEMALE,UME
58,NC,2014,JUL,8,ADULT,MALE,UME
59,SC,2014,MAR,30,ADULT,FEMALE,UME
60,NC,2014,JUL,28,ADULT,MALE,UME
61,NJ,2013,AUG,12,ADULT,MALE,UME
62,NC,2014,APR,9,ADULT,MALE,UME
63,NC,2014,JUL,21,ADULT,MALE,UME
64,NJ,2013,OCT,12,ADULT,FEMALE,UME
65,SC,2013,DEC,12,ADULT,MALE,UME
66,GA,2013,DEC,15,ADULT,MALE,UME
67,GA,2013,DEC,16,ADULT,MALE,UME
68,GA,2013,DEC,18,ADULT,MALE,UME
69,NJ,2014,MAY,23,ADULT,MALE,UME
70,NJ,2014,JUN,30,ADULT,MALE,UME
71,NJ,2014,JUN,1,ADULT,MALE,UME
72,GA,2013,DEC,19,ADULT,MALE,UME
73,GA,2013,DEC,19,ADULT,MALE,UME
74,GA,2013,DEC,23,ADULT,FEMALE,UME
75,MD,2014,JAN,5,ADULT,FEMALE,UME
76,NC,2014,MAR,8,ADULT,MALE,UME
77,NJ,2013,OCT,17,ADULT,MALE,UME
78,NC,2013,NOV,2,ADULT,MALE,UME
79,NC,2013,NOV,6,ADULT,MALE,UME
80,NC,2013,DEC,7,ADULT,MALE,UME
81,NC,2013,AUG,12,ADULT,MALE,UME
82,NC,2013,AUG,15,ADULT,MALE,UME
83,NC,2013,AUG,16,ADULT,FEMALE,UME
84,NC,2013,AUG,17,ADULT,FEMALE,UME
85,NC,2013,NOV,9,ADULT,MALE,UME
86,NC,2013,AUG,10,ADULT,FEMALE,UME
87,SC,2013,AUG,13,ADULT,MALE,UME
88,NC,2013,OCT,10,ADULT,FEMALE,UME
89,NC,2014,JAN,17,ADULT,MALE,UME
90,NC,2014,JAN,9,ADULT,FEMALE,UME
91,NC,2014,FEB,23,ADULT,MALE,UME
92,NJ,2013,SEP,20,ADULT,MALE,UME
93,NJ,2013,SEP,23,ADULT,MALE,UME
94,NJ,2013,AUG,19,ADULT,MALE,UME
95,NC,2014,JAN,18,ADULT,MALE,UME
96,NC,2013,AUG,14,ADULT,MALE,UME
97,NJ,2013,AUG,21,ADULT,FEMALE,UME
98,MD,2013,AUG,15,ADULT,FEMALE,UME
99,NC,2013,OCT,22,ADULT,MALE,UME
100,NC,2013,OCT,22,ADULT,MALE,UME
101,GA,2014,JAN,27,ADULT,FEMALE,UME
102,DE,2013,AUG,25,ADULT,MALE,UME
103,DE,2013,OCT,13,ADULT,MALE,UME
104,GA,2014,JAN,6,ADULT,FEMALE,UME
105,GA,2014,JAN,9,ADULT,MALE,UME
106,SC,2014,FEB,25,ADULT,MALE,UME
107,NC,2013,NOV,7,ADULT,FEMALE,UME
108,NC,2013,AUG,24,ADULT,FEMALE,UME
109,NC,2014,JUN,25,ADULT,FEMALE,UME
110,DE,2013,OCT,9,ADULT,MALE,UME
111,DE,2013,OCT,11,ADULT,FEMALE,UME
112,FL,2014,JUN,11,ADULT,MALE,UME
113,NC,2013,AUG,25,ADULT,FEMALE,UME
114,NC,2014,JUN,12,ADULT,MALE,UME
115,NJ,2013,AUG,25,ADULT,MALE,UME
116,NC,2013,OCT,28,ADULT,FEMALE,UME
117,DE,2013,OCT,13,ADULT,MALE,UME
118,GA,2013,NOV,22,ADULT,FEMALE,UME
119,SC,2014,JUN,16,ADULT,FEMALE,UME
120,GA,2013,NOV,28,ADULT,FEMALE,UME
121,NC,2014,JUN,21,ADULT,MALE,UME
122,NC,2013,AUG,18,ADULT,MALE,UME
123,FL,2013,NOV,9,ADULT,MALE,UME
124,NC,2013,NOV,9,ADULT,MALE,UME
125,SC,2013,OCT,19,ADULT,MALE,UME
